Russian,Occidental,Extra Info
ударение|акцент,accentu,"<B>R: </B>accentu<BR> ударение, акцент<BR>-ar"
обостряться|усиливаться,accentuar se • accentuar • accentua • accentuat,"обостряться, усиливаться"
приемлемый|подходящий,acceptabil,"приемлемый, подходящий"
принимать,accepter • accepte • acceptet • acceptar • accepta • acceptat,<B>R: </B>accept|er <B>N:</B> acceptar<BR>принимать<BR>-ion
получить|доступ,access,"<B>R: </B>access<BR><I><B>*</B></I> получить доступ<BR>-ibil, -ion, -ori, -ories."
побочный|второстепенный|дополнительный|вспомогательный,accessori,"побочный, второстепенный, дополнительный, вспомогательный"
несчастный|случай,accidente,несчастный случай
случаться,accider • accide • accidet,"<B>R: </B>accide|r<BR>случаться<BR>-nt, --ie"
шумно|аплодировать,acclamar • acclama • acclamat • aclamar • aclama • aclamat,<B>R: </B>acclama|r<BR><B><I>*</B></I> шумно /бурно/ аплодировать (кому-л.)
приспособлять,accomodar • accomoda • accomodat,приспособлять
аккорд,accord • acord,<B>R: </B>ac(c)ord<BR>аккорд
акушировать,accuchar • acuchar • acucha • acuchat,<B>R: </B>ac(c)uchar<BR><B><I>*</B></I> ? акушировать
точный|аккуратный,accurat • acurat,"<B>R: </B>ac(c)urat<BR>точный, аккуратный"
обвинять,accusar • acusar • acusa • acusat,<B>R: </B>ac(c)usa|r<BR>обвинять
резкий|жесткий,acerb,"<B>R: </B>acerb<BR> резкий, жесткий"
клён,acere,<B>R: </B>acer|e<BR> клён
уксус,acet • acete,<B>R: </B>acet<BR>уксус
кислый,acid • acidi,<B>R: </B>acid<BR>кислый
приспособить,acomodar • acomoda • acomodat,приспособить
провожать|сопровождать,acompaniar • acompania • acompaniat,"<B>R: </B>a|compani|ar<BR>провожать, сопровождать"
бот|аконит|поэт|ядовитое|вещество,aconit,<B>R: </B>aconit<BR><I><B>*</B></I> 1) бот. аконит 2) поэт. ядовитое вещество
подтверждать|признавать,aconosser • aconosse • aconosset,"подтверждать, признавать (факт)"
приобретать,acquisiter • acquisite • acquisitet,<B>R: </B>acquisit|er<BR>приобретать<BR>(-ion)
акр,acre,<B>R: </B>acre<BR> акр
едкий,acri,<B>R: </B>acr|i<BR> едкий
ахроматический,acromatic,<B>R: </B>acromatic<BR><I><B>*</B></I> ахроматический
акт|действие,act • acte,"акт, действие"
дуйствовать|речь|идёт|о,acter • acte • actet,<B>R: </B>acte|r<BR>дуйствовать<HR><B>it acte se pri...</B> речь идёт о...
акция|действо,action,"акция, действо"
активный,activ,активный
активность,activita' • activita • activitб,активность
деятель|актёр,actor,<B>1.</B> деятель <B>2.</B> актёр
актуальный|насущный|действительный,actual,"<B>R: </B>actual<BR><I><B>*</B></I> актуальный, насущный, действительный"
накапдивать,acumular • acumula • acumulat,накапдивать
спаривать,acuplar,спаривать
укорачивать,acurtar • acurta • acurtat,укорачивать
акустический,acustic,<B>R: </B>acustic<BR><I><B>*</B></I> акустический
острый|резкий,acut,"<B>R: </B>acut<BR> острый, резкий"
#VALUE!,ad,<B>R: </B>ad<BR> = a<BR>vide a.
#VALUE!,ad saver,<A href='bword://a saver'>a saver</A>
приспособить|приладить|адаптировать,adaptar • adapta • adaptat,"приспособить, приладить, адаптировать"
вперёд,adavan,(adv.) вперёд
придавать|складывать,addir • addi • addit,"<B>R: </B>addi|r<BR>придавать, складывать<BR>-t, -ion"
адепт|сторонник|привеженец,adept,"<B>R: </B>adept<BR><I><B>*</B></I> адепт, сторонник, привеженец"
фдекватный|соответствующий,adequat,"<B>R: </B>adequat<BR><I><B>*</B></I> фдекватный, соответствующий"
последователь|приверженец,adherente • adherer,"последователь, приверженец"
быть|приверженцем,adherer • adhere • adheret • adherent,быть приверженцем
прощай,adio • adi'o • adнo,<B>R: </B>adi'|o<BR>прощай<BR>-ar
прилекать|примыкать,adjacer • adjace • adjacet,прилекать; примыкать
прилагательное,adjectiv,<B>R: </B>adjectiv<BR><I><B>*</B></I> прилагательное<BR>(gram.)
приложение|дополнение|придаток;,adjunct,"<B>R: </B>adjunct<BR><I><B>*</B></I> приложение, дополнение ; придаток;"
присоединять,adjunter • adjunte • adjuntet,присоединять <A href='bword://anexer'>anexer</A>
клясться|присягать,adjurar • adjura • adjurat,"? клясться, присягать"
приводить|в|порядок,adjustar • adjusta • adjustat,приводить в порядок
адъютант,adjutant,<B>R: </B>adjutant<BR> адъютант
управлять,administrar • administra • administrat,<B>R: </B>ad|ministr|ar<BR><B><I>*</B></I> управлять
администрация,administration,администрация
адмирал,admiral,<B>R: </B>admiral<BR> адмирал
удивляться|любоваться,admirar • admira • admirat,"<B>R: </B>ad|mir|ar<BR>удивляться, любоваться"
допускать|признавать,admisser • admisse • admisset,"допускать, признавать"
примесь,admixtion,примесь
уговаривать|призывать|убеждать,admonir • admoni • admonit,"уговаривать, призывать, убеждать"
юноша,adolescent,юноша
юность,adolescentie,юность
юноша,adolescer • adolesce • adolescet,<B>R: </B>adolesce|r<BR><B><I>*</B></I> ~nt - юноша<BR>(-nt)
бросать|тень|притенять,adombrar • adombra • adombrat,"бросать тень, притенять"
принять,adopter • adopte • adoptet,"<B>R: </B>adopt|er<BR>принять<BR>-iv, -ion"
обожать,adorar • adopte • adoptet,<B>R: </B>adora|r<BR>обожать
вдобавок|впридачу|к|тому|же,adplu,"вдобавок, впридачу, к тому же"
адрес,adress,<B>R: </B>adress<BR> адрес
адресовать,adressar • adressa • adressat,адресовать
льстить|угождать,adular • adula • adulat,"льстить, угождать"
взрослый|совершеннолетний,adult,"<B>R: </B>adult<BR> взрослый, совершеннолетний"
прелюбодействовать,adulterar • adultera • adulterat,<B>R: </B>adulter|ar<BR>прелюбодействовать
кроме|того,adultra,adv. кроме того
наречие,adverbie,<B>R: </B>adverbi|e<BR><I><B>*</B></I> наречие<BR>(gram.)
действительно|наверняка,advere,"действительно, наверняка"
противник,adversario,противник
противоположный|противный,adversi • advers,"противоположный, противный"
извещать,advertir • adverti • advertit,<B>R: </B>adverti|r<BR>извещать
адвокат,advocate,адвокат
воздух,aer • aere,<B>R: </B>aer<BR>воздух
быть|голодным,afamar • afama • afamat,быть голодным
привязанность,afection,привязанность
ласковый|снисходительный,affabil • afabil,"<B>R: </B>af(f)abil<BR>ласковый, снисходительный"
притворяться,affectar • afectar • afecta • afectat,<B>R: </B>af(f)ecta|r<BR>притворяться
возбуждать,affecter • afecter • afecte • afectet,<B>R: </B>af(f)ect|er<BR>возбуждать
дело,affere • afere,<B>R: </B>af(f)er|e<BR>дело
афиша,affiche • afiche,<B>R: </B>af(f)iche<BR>афиша
сходный|близкий,affini,"<B>R: </B>affin|i<BR><I><B>*</B></I> сходный, близкий"
аффикс,affix,<B>R: </B>affix<BR><I><B>*</B></I> аффикс
огорчать,afflicter • aflicter • aflicte • aflictet,<B>R: </B>af(f)lict|er<BR>огорчать
сходный|родственный|близкий,afin • afini,"сходный, родственный, близкий"
сходство,afinita' • afinita • afinitб,сходство
утверждать,afirmar • afirma • afirmat,утверждать
утвердительный,afirmativ,утвердительный
агат,agat,<B>R: </B>agat<BR> агат
хлопотать|действовать,ager • age • aget,"<B>R: </B>age|r<BR>хлопотать, действовать"
собирать|скоплять|скапливать,agglomerar • agglomera • agglomerat,"<B>R: </B>agglomera|r<BR><B><I>*</B></I> собирать; скоплять, скапливать"
клеить|приклеивать|склеивать,agglutinar • agglutina • agglutinat,"<B>R: </B>agglutina|r<BR><B><I>*</B></I> клеить, приклеивать, склеивать"
нападать|атаковать,aggresser • agresser • agresse • agresset,"<B>R: </B>ag(g)ress|er<BR><B><I>*</B></I> нападать, атаковать<BR>-iv"
деятельный|активный,agil,"деятельный, активный"
ажио|лаж|биржевая|игра|ажиотаж|шумиха,agio,"<B>R: </B>agio<BR><I><B>*</B></I> 1) ажио, лаж (банковск.). 2) биржевая игра 3) ажиотаж, шумиха"
агитировать,agitar • agita • agitat,"<B>R: </B>agita|r<BR><B><I>*</B></I> агитировать<BR>-t, --ion, --or."
овца,agne,овца
ягненок|агнец,agnell,"<B>R: </B>agnell<BR> ягненок, агнец"
баранина,agnine,баранина
аграрный|сельскохозяйственный,agrari,"аграрный, сельскохозяйственный"
поле,agre,<B>R: </B>agr|e<BR> поле
приятный,agreabil,<B>R: </B>agreabil<BR> приятный
луг|нива|поле,agrostide,"луг, нива, поле"
игла,agullie • agul'e,<B>R: </B>agul'|e<BR>игла
приседать|садиться|на|корточки,ahocar se • ahoca • ahocat,"приседать, садиться на корточки"
отложить,ajornar • ajorna • ajornat,<B>R: </B>ajorna|r<BR><B><I>*</B></I> отложить
чеснок,al'e • ale,<B>R: </B>al'|e<BR>чеснок
алебастр,alabastre,<B>R: </B>alabastr|e<BR> алебастр
вскармливать|грудью,alactar • alacta • alactat,вскармливать грудью
бить|тревогу,alarmar • alarma • alarmat,<B>R: </B>alarma|r<BR><B><I>*</B></I> бить тревогу
тревога,alarme,тревога (сигнал и пр.)
жаворонок,alaude,<B>R: </B>alaud|e<BR> жаворонок
альбатрос,albatroz,<B>R: </B>albatroz<BR> альбатрос<BR>avie marin con max long ales
постоялый|двор,albergo • alberg,<B>R: </B>alberg<BR>постоялый двор
альбом,album,<B>R: </B>album<BR> альбом
щёлочь,alcali,<B>R: </B>alcali<BR><I><B>*</B></I> щёлочь
алхимия,alchimia,<B>R: </B>alchimia<BR><I><B>*</B></I> алхимия
лось,alco • alc,<B>R: </B>alc<BR>лось
алкоголь|спирт|этиловый,alcohol,"<B>R: </B>alcohol<BR> алкоголь, спирт этиловый"
альков|углубление|ниша,alcov,"<B>R: </B>alcov<BR> альков, углубление, ниша"
где-то|где-нибудь,alcu' • alcu • alcъ,"<B>R: </B>alcu'<BR>где-то, где-нибудь"
как-нибудь|как-то,alcuam,"как-нибудь, как-то"
какой-то|какой-нибудь|некий,alcun,"<B>R: </B>alcun<BR> какой-то, какой-нибудь, некий"
крыло|под|руководством|под|покровительством,ale,"<B>R: </B>al|e<BR>крыло<HR><B>sub li ales de</B> под руководством, под покровительством"
обжаловат|апелировать,alegar • alega • alegat,"обжаловат, апелировать"
живой|весёлый,alegri,"<B>R: </B>alegr|i<BR> живой, весёлый"
шило,alen,<B>R: </B>alen<BR> шило
тревога|сигнал|тревоги,alert,"<B>R: </B>alert<BR><I><B>*</B></I> тревога, сигнал тревоги"
облегчать,aleviar • alevia • aleviat,облегчать
морская|водоросль,alg,<B>R: </B>alg<BR><I><B>*</B></I> морская водоросль
алгебра,algebra,<B>R: </B>algebra<BR><I><B>*</B></I> алгебра
чеснок,alie • al'e,<B>R: </B>al'|e<BR>чеснок
чужой,alien,<B>R: </B>alien<BR><I><B>*</B></I> чужой
сходить|с|ума,alienar • aliena • alienat,сходить с ума
сумасшедший,alienate • alienato • alienata,сумасшедший
безумие,alienitб • alienita • alienita',безумие
алимент,aliment,<B>R: </B> <B><I>*</B></I> алимент
алименты,aliment-monй • aliment-mone • aliment-mone' • aliment • monй,алименты (деньги)
кормить,alimentar • alimenta • alimentat,кормить
равняться,alinear • alinea • alineat,равняться
пассат,alisй • alise • alise',пассат (ветер)
аллея,alle' • alle,<B>R: </B>аллея
аллегория|метафора,allegorie,"<B>R: </B>allegori|e<BR><I><B>*</B></I> аллегория, метафора"
альянс,alliantie,альянс
соединять,alliar • allia • alliat,<B>R: </B>allia|r<BR><B><I>*</B></I> соединять<BR>-ntie
альманах,almanac,<B>R: </B>almanac<BR>альманах
по|крайней|мере,almen,<B>R: </B>almen<BR> по крайней мере
милостыня,almosne,<B>R: </B>almosne<BR> милостыня
ольха,alne,ольха
вдоль,along,<B>R: </B>along<BR> вдоль
удлиннять|продлевать,alongar • alonga • alongat,"удлиннять, продлевать"
тогда,alor,<B>R: </B>тогда
какой-нибудь,alqual,<B>R: </B>какой-нибудь
как-нибудь,alquam,<B>R: </B>как-нибудь<BR>= in alcun maniere.
когда-нибудь,alquande,<B>R: </B>когда-нибудь
сколько-нибудь,alquant,<B>R: </B>сколько-нибудь
какой-нибудь|какой-либо,alquel,"какой-нибудь, какой-либо"
чей-то|чей-нибудь,alquem,"чей-то, чей-нибудь"
некто|кто-нибудь,alqui,"<B>R: </B>некто, кто-нибудь"
кто-то|кто-нибудь,alquo,"кто-то, кто-нибудь"
высокий,alt,<B>R: </B>высокий
менять|изменять,alterar • altera • alterat,"менять, изменять"
выбирать|из|двух|одно,alternar • alterna • alternat,<B>R: <I>*</B></I> выбирать из двух одно
альтернатива,alternative,альтернатива
другой,altri,<B>R: </B>altr|i<BR> другой
намекать,aluder • alude • aludet,намекать
алюминий,aluminie,<B>R: </B>alumini|e<BR><I><B>*</B></I> алюминий
квасцы,alun,квасцы
любовь,ama,любовь
амальгама|перламутр,amalgam,"<B>R: <I>*</B></I> амальгама, перламутр"
приручить,amansar • amansa • amansat,приручить
любить,amar • ama • amat,<B>R: </B>ama|r<BR>любить
горький,amari,<B>R: </B>amar|i<BR> горький
посольство,ambassade,<B>R: </B>ambassad|e<BR><I><B>*</B></I> посольство
оба|обе,ambi,"оба, обе"
амбиция,ambicie,амбиция
двусмысленный,ambigu,<B>R: </B>ambigu<BR><I><B>*</B></I> двусмысленный
неоднозначный|амбивалентный,ambigui,"неоднозначный, амбивалентный"
напомнить,amemorar • amemora • amemorat,напомнить
друг,amic • amico • amica,<B>R: </B>друг
крахмал,amidon,<B>R: </B>amidon<BR> крахмал
амнистия,amnesti'e,<B>R: </B>amnesti'|e<BR><I><B>*</B></I> амнистия
просторный|обширный,ampli,<B>R: </B>ampli<BR>просторный<BR>обширный
ампутировать,amputar • amputa • amputat,<B>R: </B>amputa|r<BR><B><I>*</B></I> ампутировать
амулет,amulet,<B>R: </B>amulet<BR><I><B>*</B></I> амулет
забавлять,amusar • amusa • amusat,<B>R: </B>amusa|r<BR>забавлять
невежество|безграмртность,analfabete,"невежество, безграмртность"
аналог,analog,"<B>R: <I>*</B></I> аналог<BR>-ic, -ie"
аналитический,analytic,<B>R: </B>analy<BR><B><I>*s</B></I> ~tic аналитический<BR>-{t}ic
ананас,ananas,<B>R: </B>ананас
анархия,anarchie,<B>R: </B>anarchi|e<BR><I><B>*</B></I> анархия
утка,anat • anate,<B>R: </B>утка
анатом,anatom,"<B>R: </B>anatom<BR><I><B>*</B></I> анатом<BR>-ic, -ie"
тоже,anc,<B>R: </B>anc<BR> тоже
анчоус,anchove,<B>R: </B>anchov|e<BR> анчоус
старинный|древний,ancian,"<B>R: </B>ancian<BR><I><B>*</B></I> старинный, древний<BR>-ita"
ещё,ancor,<B>R: </B>ещё
якорь,ancre,<B>R: </B>ancr|e<BR> якорь
кольцо,anelle,кольцо
присоединять,anexer • anexe • anexet,присоединять
ангел,angel • angele,<B>R: </B>ангел
ангина,angina,<B>R: </B>angin|a<BR><I><B>*</B></I> ангина
угорь,anguill,<B>R: </B>угорь
тесный,angust,"<B>R: </B>тесный<BR>Syn. strett da l ide' pur, angust i ide' de de pression de exter"
тяжело|дышать|задыхаться,anhelar • anhela • anhelat,"тяжело дышать, задыхаться"
уничтожить|изничтожить,anihilar • anihila • anihilat,"уничтожить, изничтожить"
животное,animale,<B>R: </B>animal|e<BR> животное
анкер,anker,<B>R: </B>anker<BR> анкер
анналы,annales,<B>R: </B>annal|es<BR><I><B>*</B></I> анналы
кольцо,annel,<B>R: </B>annel<BR> кольцо
аннексировать|присоединить,annexer • annexe • annexet,"<B>R: </B>annex|er<BR><B><I>*</B></I> аннексировать, присоединить (территорию)<BR>-ion"
годовщина,anniversarie,годовщина
год,annu,<B>R: </B>год
аноним,anonym,<B>R: <I>*</B></I> аноним
ручка,anse,<B>R: </B>ans|e<BR> ручка (двери etc.)
антагонизм,antagonism,<B>R: </B>antagon|ism<BR><I><B>*</B></I> антагонизм<BR>-ist
антарктический,antarctic,<B>R: </B>antarct|ic<BR><I><B>*</B></I> антарктический
до|перед,ante,"<B>R: </B>до, перед"
прихожая|передняя,antechambre • chambre,"прихожая, передняя (комната)"
щупальце|усик|антенна,antenne,"<B>R: </B>antenn|e<BR> щупальце, усик, антенна"
предыдущий|передний,anterior • anteriori,"<B>R: <I>*</B></I> предыдущий, передний"
прошлое,antey,прошлое
бывший|предшествующий|предыдущий,anteyan,"бывший, предшествующий, предыдущий"
анти-|контра-,anti-,анти- контра-
ожидать|предвидеть|ждать|предвкушать|предчувствовать,anticipar • anticipa • anticipat,"ожидать, предвидеть; ждать, предвкушать, предчувствовать"
противоядие,antidot,противоядие
гимн|церк|псалом|церковный|хорал,antifon,"1) гимн <BR> 2) церк. псалом, церковный хорал"
антилопа,antilop,антилопа
сурьма,antimon,<B>R: <I>*</B></I> сурьма
противный,antipatic,противный
антипатия,antipatнe • antipatie • antipati'e,"<B>R: </B>antipati|e<BR><B><I>*</B></I> антипатия<BR>(antipathie), -ic"
старинный,antiquat,старинный
древний,antiqui,<B>R: </B>antiqu|i<BR> древний
пещера,antre,пещера
аннулировать,anullar • anulla • anullat,аннулировать
объявлять,anunciar • anuncia • anunciat,<B>R: </B>a|nuncia|r<BR>объявлять
анус,anus,<B>R: </B>anus<BR><I><B>*</B></I> анус
тревожиться,anxiar • anxia • anxiat,<B>R: </B>anxia<BR>тревожиться<BR>-se
тоска|тревога|беспокойство,anxieta' • anxieta • anxietб,"тоска, тревога, беспокойство"
видимость|внешний|вид,aparentie,"видимость, внешний вид"
казаться|кажется|повидимому|видимость,aparer • apare • aparet • aparentie,"казаться<BR><B>it apare</B> кажется, повидимому<BR><B>aparentie</B> видимость"
являться|появляться|издавать|выпускать,aparir • apari • aparit,"<B>R: </B>a|pari|r<BR>являться, появляться<HR><B>far aparir</B> издавать, выпускать"
воробей,aparro,воробей
особенный|отдельный,apart,"<B>R: </B>особенный, отдельный"
квартира,apartament,квартира
принадлежность,apartenentie • apartener,принадлежность
принадлежать,apartener • apartene • apartenet,<B>R: </B>aparten|er<BR>принадлежать
апатия,apatie • apathie,<B>R: <I>*</B></I> апатия<BR>(apathie)
пчела,ape,"<B>R: </B>ap|e<BR> пчела<BR>-iera, -icultura"
едва|почти|еле,apen,"едва, почти, еле"
едва,apene,<B>R: </B>apen|e<BR> едва
открытый,apert,открытый
открывать,aperter • aperte • apertet,<B>R: </B>apert|er<BR>открывать
апетит,apetite,<B>R: </B>apetit|e<BR> апетит
мять|комкать,aplastar • aplasta • aplastat,"мять, комкать"
апломб,aplombe,апломб
прикладывать,aposir • aposi • aposit,прикладывать
аптека,apoteca,аптека
аптекарь,apotecario,аптекарь
поддержка,apoy,поддержка
прислонять,apoyar • apoya • apoyat,<B>R: </B>apoya|r<BR>прислонять
аппарат,apparate • aparate,<B>R: </B>ap(p)arat|e<BR><B><I>*</B></I> аппарат
казаться,apparer • aparer • apare • aparet,<B>R: </B>ap(p)ar|er<BR>казаться
апелировать,appell • apell,"<B>R: </B>ap(p)ell<BR><B><I>*</B></I> ~ar = апелировать<BR>-ar, -ation, -ativ"
аплодировать|поддерживать|одобрять,applauder • aplauder • aplaude • aplaudet,"<B>R: </B>ap(p)laud|er<BR><B><I>s</B></I> 1) аплодировать; 2) поддерживать, одобрять"
применять|прикладывать,applicar • aplicar • aplica • aplicat,"<B>R: </B>a(p)|plic|ar<BR>применять, прикладывать"
апломб|самоуверенность,applomb,<B>R: </B>applomb<BR> апломб; самоуверенность
аппозиция,apposir • apposi • apposit,<B>R: </B>apposi|r<BR><B><I>*</B></I> ~tion = аппозиция<BR>-tion
одобрять|соглашаться,approbar • aprobar • aproba • aprobat,<B>R: </B>ap(p)roba|r<BR>одобрять; соглашаться
достойный,apreciabil,достойный
оценивать|расценивать|ценить,apreciar • aprecia • apreciat,"оценивать, расценивать, ценить"
учить|узнавать,aprender • aprende • aprendet,"<B>R: </B>aprend|er<BR><B><I>s</B></I> учить(ся), узнавать"
изучение,aprension,изучение
лощить,apretar • apreta • apretat,лощить <I> (кожу) </I>
апрель,april,<B>R: </B>april<BR> апрель
одобрять,aprobar • aproba • aprobat,одобрять
годный|способный,apt,"<B>R: </B>годный, способный"
рядом,apu,<B>R: </B>рядом
